subj_idx,valence,matchness,condition,rt_m,sd,var
1,circle,match,image_first,572.55,49.61231753589073,2461.382051282051
1,circle,match,simultaneous,649.7435897435897,70.65919612690867,4992.721997300945
1,circle,match,word_first,558.85,101.79530743302766,10362.284615384615
1,circle,mismatch,image_first,652.0769230769231,62.819869725976545,3946.336032388664
1,circle,mismatch,simultaneous,777.078947368421,107.4981788856299,11555.858463726885
1,circle,mismatch,word_first,602.8461538461538,57.57125491695096,3314.4493927125504
1,square,match,image_first,593.7,58.28233668300173,3396.8307692307694
1,square,match,simultaneous,661.95,66.77745282000659,4459.228205128205
1,square,match,word_first,553.2051282051282,50.50387139260738,2550.641025641026
1,square,mismatch,image_first,628.875,36.20467989298961,1310.7788461538462
1,square,mismatch,simultaneous,770.2564102564103,79.50925730568073,6321.721997300945
1,square,mismatch,word_first,608.575,57.1807245180599,3269.6352564102563
1,triangle,match,image_first,561,50.299105359837164,2530
1,triangle,match,simultaneous,663.1282051282051,55.93237434013718,3128.4304993252363
1,triangle,match,word_first,552.075,45.35862086946083,2057.404487179487
1,triangle,mismatch,image_first,615.05,65.32323967031672,4267.125641025641
1,triangle,mismatch,simultaneous,713.4615384615385,53.18678414885756,2828.834008097166
1,triangle,mismatch,word_first,608.1282051282051,88.76734211206859,7879.641025641025
2,circle,match,image_first,536.3333333333334,94.72637285511207,8973.085714285715
2,circle,match,simultaneous,636.8717948717949,112.22420685657971,12594.272604588394
2,circle,match,word_first,559.8,134.969016052269,18216.63529411765
2,circle,mismatch,image_first,651.5277777777778,146.40813523671443,21435.342063492062
2,circle,mismatch,simultaneous,748.6285714285714,177.56789682595578,31530.357983193277
2,circle,mismatch,word_first,662.6315789473684,216.57698475869793,46905.59032716927
2,square,match,image_first,525.1,99.95942766686481,9991.88717948718
2,square,match,simultaneous,681.975,116.77273292102979,13635.871153846154
2,square,match,word_first,524.3589743589744,77.20324753855452,5960.341430499325
2,square,mismatch,image_first,626.0833333333334,125.85714691097772,15840.021428571428
2,square,mismatch,simultaneous,727.8421052631579,103.85814814442158,10786.51493598862
2,square,mismatch,word_first,612.725,111.35712646878338,12400.409615384615
2,triangle,match,image_first,561.025641025641,122.89094163429004,15102.183535762482
2,triangle,match,simultaneous,630.2631578947369,114.99087724344761,13222.901849217638
2,triangle,match,word_first,624.0555555555555,171.68724795718262,29476.51111111111
2,triangle,mismatch,image_first,616.775,155.70295313636353,24243.409615384615
2,triangle,mismatch,simultaneous,705.6410256410256,114.95204656484674,13213.973009446694
2,triangle,mismatch,word_first,641.9428571428572,148.96524325317966,22190.64369747899
3,circle,match,image_first,530.35,105.3549677555322,11099.66923076923
3,circle,match,simultaneous,622.4722222222222,96.91719178500821,9392.942063492064
3,circle,match,word_first,506.4594594594595,87.93324317489521,7732.255255255255
3,circle,mismatch,image_first,557.4473684210526,103.1987579457053,10649.983641536273
3,circle,mismatch,simultaneous,681.875,106.05529598493237,11247.725806451614
3,circle,mismatch,word_first,524.1176470588235,86.25008202222972,7439.076648841355
3,square,match,image_first,520.3157894736842,83.62887942382231,6993.789473684211
3,square,match,simultaneous,612.5945945945946,134.15899759850862,17998.63663663664
3,square,match,word_first,510.6111111111111,91.69554523461332,8408.073015873017
3,square,mismatch,image_first,561.1578947368421,101.41526254232723,10285.05547652916
3,square,mismatch,simultaneous,683.6944444444445,80.87479545372922,6540.73253968254
3,square,mismatch,word_first,540.1621621621622,73.13173559235929,5348.250750750751
3,triangle,match,image_first,532.1052631578947,94.45770953431709,8922.258890469417
3,triangle,match,simultaneous,630.1875,105.15746641078552,11058.092741935483
3,triangle,match,word_first,512.8611111111111,71.84513216546418,5161.723015873016
3,triangle,mismatch,image_first,535.8378378378378,64.72141733508207,4188.861861861862
3,triangle,mismatch,simultaneous,654.0588235294117,80.02270177002258,6403.632798573975
3,triangle,mismatch,word_first,514.0285714285715,60.32679909522492,3639.32268907563
4,circle,match,image_first,627.3714285714286,125.16226778590632,15665.593277310925
4,circle,match,simultaneous,817.8055555555555,183.19916085965716,33561.93253968254
4,circle,match,word_first,652.6216216216217,164.01225417486194,26900.01951951952
4,circle,mismatch,image_first,728.081081081081,141.53942881723773,20033.40990990991
4,circle,mismatch,simultaneous,860.3333333333334,142.44397394865715,20290.285714285714
4,circle,mismatch,word_first,667.75,93.39023350589565,8721.735714285714
4,square,match,image_first,716.8387096774194,129.45838373114185,16759.47311827957
4,square,match,simultaneous,850.3214285714286,161.6090512617887,26117.48544973545
4,square,match,word_first,679.2727272727273,172.28596734921433,29682.454545454544
4,square,mismatch,image_first,722.1142857142858,141.29209865685038,19963.457142857143
4,square,mismatch,simultaneous,860.1290322580645,124.53720780968335,15509.516129032258
4,square,mismatch,word_first,741.0333333333333,139.43741231829782,19442.79195402299
4,triangle,match,image_first,635.3513513513514,148.67604907169,22104.567567567567
4,triangle,match,simultaneous,822.5277777777778,186.25351173849214,34690.37063492063
4,triangle,match,word_first,689.7352941176471,161.8509057320178,26195.71568627451
4,triangle,mismatch,image_first,736.8888888888889,112.98309381132863,12765.179487179486
4,triangle,mismatch,simultaneous,806.2222222222222,135.3347407855502,18315.492063492064
4,triangle,mismatch,word_first,670.6578947368421,129.6507317113402,16809.312233285917
5,circle,match,image_first,511.8205128205128,78.31309354624376,6132.940620782726
5,circle,match,simultaneous,670.85,124.80847891972888,15577.15641025641
5,circle,match,word_first,459.275,46.86149121586251,2195.999358974359
5,circle,mismatch,image_first,657.25,93.58857531008488,8758.82142857143
5,circle,mismatch,simultaneous,826.7631578947369,173.81481823598017,30211.591038406827
5,circle,mismatch,word_first,559.2,71.98297519517179,5181.548717948718
5,square,match,image_first,526.5263157894736,85.12938859334044,7247.01280227596
5,square,match,simultaneous,684.75,113.98464808911768,12992.5
5,square,match,word_first,503.05263157894734,108.95174914399618,11870.483641536273
5,square,mismatch,image_first,707.475,160.06536925861707,25620.922435897435
5,square,mismatch,simultaneous,787.6,150.2095630128549,22562.91282051282
5,square,mismatch,word_first,551.75,76.78332818509163,5895.679487179487
5,triangle,match,image_first,533.8,85.81142115126634,7363.6
5,triangle,match,simultaneous,608.0263157894736,71.52375785297565,5115.647937411095
5,triangle,match,word_first,489.4871794871795,114.08765600345058,13015.993252361674
5,triangle,mismatch,image_first,625.5641025641025,116.36620844100995,13541.094466936573
5,triangle,mismatch,simultaneous,756.875,111.7511400733447,12488.317307692309
5,triangle,mismatch,word_first,547.6153846153846,56.63763644740287,3207.821862348178
6,circle,match,image_first,535.2894736842105,95.6736875049592,9153.454480796587
6,circle,match,simultaneous,625.2564102564103,82.1320239962586,6745.669365721998
6,circle,match,word_first,541.7,77.08244005026413,5941.702564102564
6,circle,mismatch,image_first,567.5897435897435,86.96330682617267,7562.61673414305
6,circle,mismatch,simultaneous,638.15,126.51168994329217,16005.207692307693
6,circle,mismatch,word_first,559.0769230769231,100.99488903571326,10199.967611336033
6,square,match,image_first,524.2368421052631,82.1262818684857,6744.726173541963
6,square,match,simultaneous,631.1621621621622,111.425239887936,12415.584084084085
6,square,match,word_first,560.575,87.59753172380238,7673.327564102564
6,square,mismatch,image_first,616.175,94.44979333772235,8920.763461538461
6,square,mismatch,simultaneous,691.675,93.2815939466665,8701.45576923077
6,square,mismatch,word_first,575.825,89.90419045594294,8082.763461538461
6,triangle,match,image_first,536.6842105263158,75.79920318455821,5745.51920341394
6,triangle,match,simultaneous,670.2564102564103,126.94999387423918,16116.300944669365
6,triangle,match,word_first,590.3076923076923,96.42208576608256,9297.218623481782
6,triangle,mismatch,image_first,580.025,99.60086692548259,9920.332692307693
6,triangle,mismatch,simultaneous,626.15,84.84210070054873,7198.182051282051
6,triangle,mismatch,word_first,561.475,115.62427823752553,13368.973717948718
7,circle,match,image_first,525.675,70.66402541024313,4993.404487179487
7,circle,match,simultaneous,658.3235294117648,129.0571216233774,16655.74064171123
7,circle,match,word_first,513.5897435897435,65.31007738341198,4265.40620782726
7,circle,mismatch,image_first,584.925,104.07772921210723,10832.173717948717
7,circle,mismatch,simultaneous,698.3783783783783,120.69114653881142,14566.352852852853
7,circle,mismatch,word_first,570.1578947368421,79.83175765685743,6373.109530583215
7,square,match,image_first,591.4473684210526,88.35361916704177,7806.362019914652
7,square,match,simultaneous,671.2647058823529,98.03904875208605,9611.655080213905
7,square,match,word_first,566.8857142857142,79.4587467619191,6313.69243697479
7,square,mismatch,image_first,555.5,57.811807861414685,3342.2051282051284
7,square,mismatch,simultaneous,750.75,111.47421226454125,12426.5
7,square,mismatch,word_first,551.5,71.37633418074286,5094.581081081081
7,triangle,match,image_first,515.2307692307693,64.21569800637025,4123.655870445344
7,triangle,match,simultaneous,594.7435897435897,61.377913886759124,3767.2483130904184
7,triangle,match,word_first,491.5128205128205,53.948255810482436,2910.4143049932522
7,triangle,mismatch,image_first,576.5833333333334,88.04816052268538,7752.478571428572
7,triangle,mismatch,simultaneous,676.4102564102565,59.39418629564679,3527.669365721997
7,triangle,mismatch,word_first,557.7948717948718,63.20733613616776,3995.167341430499
8,circle,match,image_first,561.5135135135135,94.92939528981574,9011.59009009009
8,circle,match,simultaneous,645.6486486486486,106.97565045275391,11443.78978978979
8,circle,match,word_first,572.1081081081081,144.63974092432085,20920.654654654656
8,circle,mismatch,image_first,630.6842105263158,96.23454042588611,9261.086770981508
8,circle,mismatch,simultaneous,729.1935483870968,107.04716074542058,11459.094623655914
8,circle,mismatch,word_first,635.939393939394,108.94635703923841,11869.308712121212
8,square,match,image_first,629.7857142857143,95.95383038804425,9207.137566137566
8,square,match,simultaneous,710.8,128.65119911793576,16551.131034482758
8,square,match,word_first,608.9032258064516,125.32660128339599,15706.756989247311
8,square,mismatch,image_first,602.7714285714286,91.20245279025112,8317.887394957983
8,square,mismatch,simultaneous,753.1470588235294,149.12230740853266,22237.46256684492
8,square,mismatch,word_first,655.4166666666666,109.9829532245793,12096.25
8,triangle,match,image_first,636.4285714285714,126.6468656202299,16039.42857142857
8,triangle,match,simultaneous,651.6285714285714,121.22926401567203,14696.534453781513
8,triangle,match,word_first,579.7941176470588,141.13088260531583,19917.926024955435
